rank,rank_change,title,artist,album,img_url
64,0,헤어지자 말해요,박재정,1집 Alone,https://image.bugsm.co.kr/album/images/50/40856/4085673.jpg?version=20230421064519.0
65,0,MEOW,MEOVV (미야오),MEOW,https://image.bugsm.co.kr/album/images/50/41067/4106748.jpg?version=20241119040456.0
66,0,네모네모,YENA (최예나),네모네모,https://image.bugsm.co.kr/album/images/50/206738/20673830.jpg?version=20241207011852.0
67,0,비의 랩소디,임재현,비의 랩소디,https://image.bugsm.co.kr/album/images/50/206088/20608836.jpg?version=20240209024356.0
68,0,주저하는 연인들을 위해,잔나비,전설,https://image.bugsm.co.kr/album/images/50/202371/20237198.jpg?version=20210421045158.0
69,0,그대만 있다면 (여름날 우리 X 너드커넥션 (Nerd Connection)),너드커넥션(Nerd Connection),그대만 있다면 (여름날 우리 X 너드커넥션 (Nerd Connection)),https://image.bugsm.co.kr/album/images/50/40901/4090168.jpg?version=20240209005514.0
70,0,미안해 미워해 사랑해,Crush,눈물의 여왕 OST Part.4,https://image.bugsm.co.kr/album/images/50/40993/4099372.jpg?version=20240517174204.0
71,0,청혼하지 않을 이유를 못 찾았어,이무진,청혼하지 않을 이유를 못 찾았어,https://image.bugsm.co.kr/album/images/50/40997/4099728.jpg?version=20250101001138.0
72,0,"모든 날, 모든 순간 (Every day, Every Moment)",폴킴(Paul Kim),'키스 먼저 할까요?' OST Part.3,https://image.bugsm.co.kr/album/images/50/201547/20154722.jpg?version=20230601001519.0
73,0,Live My Life,aespa,Armageddon - The 1st Album,https://image.bugsm.co.kr/album/images/50/41011/4101141.jpg?version=20241102010939.0
74,0,Drama,aespa,Drama - The 4th Mini Album,https://image.bugsm.co.kr/album/images/50/40929/4092948.jpg?version=20241204025434.0
75,0,사랑인가 봐,멜로망스(MeloMance),사랑인가 봐 (사내맞선 OST 스페셜 트랙),https://image.bugsm.co.kr/album/images/50/40713/4071363.jpg?version=20220330120007.0
76,0,Girls Never Die,tripleS (트리플에스),<ASSEMBLE24>,https://image.bugsm.co.kr/album/images/50/41009/4100945.jpg?version=20250107015946.0
77,0,Super Shy,NewJeans,NewJeans 2nd EP 'Get Up',https://image.bugsm.co.kr/album/images/50/40885/4088574.jpg?version=20231220032138.0
78,0,아직 거기 살아,DAY6 (데이식스),Band Aid,https://image.bugsm.co.kr/album/images/50/206680/20668087.jpg?version=20240903005613.0
79,0,그걸 사랑이라고 말하지마,다비치,Stitch,https://image.bugsm.co.kr/album/images/50/41105/4110530.jpg?version=20241123011049.0
80,0,살기 위해서,순순희,살기 위해서,https://image.bugsm.co.kr/album/images/50/204636/20463680.jpg?version=20231026065029.0
81,0,내가 널 지켜줄게,폴킴(Paul Kim),내가 널 지켜줄게 (나의 완벽한 비서 OST Special Track),https://image.bugsm.co.kr/album/images/50/206946/20694645.jpg?version=20250104000003.0
82,0,Strategy (feat. Megan Thee Stallion),TWICE (트와이스),STRATEGY,https://image.bugsm.co.kr/album/images/50/206898/20689803.jpg?version=20241210012217.0
83,0,사랑은 늘 도망가,임영웅,신사와 아가씨 OST Part.2,https://image.bugsm.co.kr/album/images/50/40658/4065831.jpg?version=20230422005430.0
84,0,Cruel Summer,Taylor Swift(테일러 스위프트),Lover,https://image.bugsm.co.kr/album/images/50/9228/922832.jpg?version=20240827014910.0
85,0,인사,범진,인사,https://image.bugsm.co.kr/album/images/50/204409/20440993.jpg?version=20231212004159.0
86,0,SPOT! (feat. JENNIE),지코 (ZICO),SPOT!,https://image.bugsm.co.kr/album/images/50/41005/4100571.jpg?version=20240430023213.0
87,0,사건의 지평선,윤하(Younha/ユンナ),YOUNHA 6th Album Repackage 'END THEORY : Final Edition',https://image.bugsm.co.kr/album/images/50/40734/4073469.jpg?version=20250107012445.0
88,0,Spicy,aespa,MY WORLD - The 3rd Mini Album,https://image.bugsm.co.kr/album/images/50/205634/20563467.jpg?version=20230601002330.0
89,0,LOVE DIVE,IVE (아이브),LOVE DIVE,https://image.bugsm.co.kr/album/images/50/40737/4073710.jpg?version=20220426143556.0
90,0,Boom Boom Bass,RIIZE,RIIZING - The 1st Mini Album,https://image.bugsm.co.kr/album/images/50/40997/4099766.jpg?version=20240709004606.0
91,0,그녀가 웃었다,DAY6 (데이식스),Band Aid,https://image.bugsm.co.kr/album/images/50/206680/20668087.jpg?version=20240903005613.0
92,0,Gravity,FIFTY FIFTY,Love Tune,https://image.bugsm.co.kr/album/images/50/357697/35769791.jpg?version=20250122005359.0
93,0,내가 S면 넌 나의 N이 되어줘,TWS (투어스),TWS 2nd Mini Album ‘SUMMER BEAT!’,https://image.bugsm.co.kr/album/images/50/41023/4102387.jpg?version=20240718014004.0
94,0,첫 눈,EXO,겨울 스페셜 앨범 '12월의 기적 (Miracles in December)’,https://image.bugsm.co.kr/album/images/50/4005/400586.jpg?version=20250107030153.0
95,0,시작의 아이,마크툽(MAKTUB),시작의 아이 ハジマリのコ (Starting With You),https://image.bugsm.co.kr/album/images/50/41124/4112411.jpg?version=20250103014027.0
96,0,Dangerously,Charlie Puth(찰리 푸스),Nine Track Mind (Deluxe Edition),https://image.bugsm.co.kr/album/images/50/5277/527746.jpg?version=20250117005734.0
97,0,HER,민니 ((여자)아이들),HER,https://image.bugsm.co.kr/album/images/50/41125/4112562.jpg?version=20250122103712.0
98,0,stay a little longer,로제(ROSÉ),rosie,https://image.bugsm.co.kr/album/images/50/41113/4111311.jpg?version=20241210002920.0
99,0,Take Care,다이나믹 듀오,Take Care,https://image.bugsm.co.kr/album/images/50/206986/20698659.jpg?version=20250117013954.0
100,0,Doctor! Doctor!,ZEROBASEONE (제로베이스원),Doctor! Doctor!,https://image.bugsm.co.kr/album/images/50/206992/20699234.jpg?version=20250121023448.0
