rank,title,artist,album,img_url
39,Live My Life,aespa,Armageddon - The 1st Album,https://image.bugsm.co.kr/album/images/50/41011/4101141.jpg?version=20241102010939.0
40,Small girl (feat. 도경수(D.O.)),이영지,16 Fantasy,https://image.bugsm.co.kr/album/images/50/41029/4102930.jpg?version=20250107032752.0
41,청춘만화,이무진,만화 (滿花),https://image.bugsm.co.kr/album/images/50/41081/4108180.jpg?version=20250101001159.0
42,슬픈 초대장,순순희 (지환),슬픈 초대장,https://image.bugsm.co.kr/album/images/50/40943/4094328.jpg?version=20250101001126.0
43,Supersonic,프로미스나인,Supersonic,https://image.bugsm.co.kr/album/images/50/41053/4105386.jpg?version=20240813025628.0
44,Letter To Myself,태연 (TAEYEON),Letter To Myself - The 6th Mini Album,https://image.bugsm.co.kr/album/images/50/41098/4109844.jpg?version=20241129005029.0
45,Cherish (My Love),아일릿(ILLIT),I’LL LIKE YOU,https://image.bugsm.co.kr/album/images/50/206785/20678516.jpg?version=20241121014005.0
46,Magnetic,아일릿(ILLIT),SUPER REAL ME,https://image.bugsm.co.kr/album/images/50/206323/20632324.jpg?version=20240417003638.0
47,주저하는 연인들을 위해,잔나비,전설,https://image.bugsm.co.kr/album/images/50/202371/20237198.jpg?version=20210421045158.0
48,너의 모든 순간,성시경,별에서 온 그대 (SBS 수목드라마) OST - Part.7,https://image.bugsm.co.kr/album/images/50/4132/413209.jpg?version=20231101174008.0
49,그대만 있다면 (여름날 우리 X 너드커넥션 (Nerd Connection)),너드커넥션(Nerd Connection),그대만 있다면 (여름날 우리 X 너드커넥션 (Nerd Connection)),https://image.bugsm.co.kr/album/images/50/40901/4090168.jpg?version=20240209005514.0
50,에피소드,이무진,에피소드,https://image.bugsm.co.kr/album/images/50/40941/4094127.jpg?version=20250101001125.0
51,"무제(無題) (Untitled, 2014)",G-DRAGON,권지용,https://image.bugsm.co.kr/album/images/50/201018/20101856.jpg?version=20250107024850.0
52,Boom Boom Bass,RIIZE,RIIZING - The 1st Mini Album,https://image.bugsm.co.kr/album/images/50/40997/4099766.jpg?version=20240709004606.0
53,After LIKE,IVE (아이브),After LIKE,https://image.bugsm.co.kr/album/images/50/40789/4078936.jpg?version=20220824005434.0
54,Spicy,aespa,MY WORLD - The 3rd Mini Album,https://image.bugsm.co.kr/album/images/50/205634/20563467.jpg?version=20230601002330.0
55,Super Shy,NewJeans,NewJeans 2nd EP 'Get Up',https://image.bugsm.co.kr/album/images/50/40885/4088574.jpg?version=20231220032138.0
56,Gravity,FIFTY FIFTY,Love Tune,https://image.bugsm.co.kr/album/images/50/357697/35769791.jpg?version=20250122005359.0
57,사랑인가 봐,멜로망스(MeloMance),사랑인가 봐 (사내맞선 OST 스페셜 트랙),https://image.bugsm.co.kr/album/images/50/40713/4071363.jpg?version=20220330120007.0
58,Dangerously,Charlie Puth(찰리 푸스),Nine Track Mind (Deluxe Edition),https://image.bugsm.co.kr/album/images/50/5277/527746.jpg?version=20250117005734.0
59,"모든 날, 모든 순간 (Every day, Every Moment)",폴킴(Paul Kim),'키스 먼저 할까요?' OST Part.3,https://image.bugsm.co.kr/album/images/50/201547/20154722.jpg?version=20230601001519.0
60,클락션 (Klaxon),(여자)아이들,I SWAY,https://image.bugsm.co.kr/album/images/50/41041/4104119.jpg?version=20240718005913.0
